Nether Fortress,X,Z
1709,-1009,-404
1710,-1009,2153
1711,-1011,-1543
1712,-1013,-1523
1713,-1013,2176
1714,-1014,-327
1715,-1015,-1404
1716,-1016,1003
1717,-1021,-362
1718,-1021,-254
1719,-1024,1013
1720,-1025,-351
1721,-1025,-308
1722,-1025,-266
1723,-1027,-1489
1724,-1029,-1419
1725,-1032,-298
1726,-1034,-1483
1727,-1034,2124
1728,-1036,-441
1729,-1037,-1457
1730,-1038,-394
1731,-1041,-301
1732,-1042,-1415
1733,-1044,-372
1734,-1052,-267
1735,-1055,-1531
1736,-1056,-444
1737,-1058,-1511
1738,-1065,1031
1739,-1067,-352
1740,-1067,-289
1741,-1067,2144
1742,-1067,978
1743,-1069,2191
1744,-1070,-282
1745,-1072,-1469
1746,-1072,-1410
1747,-1072,-406
1748,-1075,-213
1749,-1080,-1450
1750,-1080,1092
1751,-1082,-431
1752,-1085,-290
1753,-1087,-1427
1754,-1087,-415
1755,-1088,2171
1756,-1089,968
1757,-1092,-441
1758,-1092,1092
1759,-1095,-457
1760,-1099,-369
1761,-1100,-243
1762,-1102,-387
1763,-1103,-353
1764,-1105,-1527
1765,-1105,1031
1766,-1107,-1442
1767,-1107,-360
1768,-1109,-267
1769,-1110,988
1770,-1112,-1390
1771,-1112,-464
1772,-1113,1020
1773,-1115,2210
1774,-1117,1066
1775,-1119,-1439
1776,-1120,2206
1777,-1122,-1457
1778,-1123,-1493
1779,-1123,2196
1780,-1124,993
1781,-1126,2211
1782,-1128,-465
1783,-1128,2244
1784,-1132,-1452
1785,-1132,-323
1786,-1132,1113
1787,-1133,-1425
1788,-1134,1039
1789,-1136,-1344
1790,-1137,-403
1791,-1138,-347
1792,-1140,-359
1793,-1143,-241
1794,-1143,1091
1795,-1144,-297
1796,-1144,183
1797,-1148,149
1798,-1151,-443
1799,-1151,1081
1800,-1152,990
1801,-1153,973
1802,-1155,-362
1803,-1156,-308
1804,-1157,-1418
1805,-1159,1073
1806,-1159,1038
1807,-1163,-1405
1808,-1164,-1459
1809,-1167,207
1810,-1170,996
1811,-1171,-1422
1812,-1173,111
1813,-1173,2167
1814,-1173,1028
1815,-1174,-261
1816,-1174,987
1817,-1180,-1427
1818,-1180,-205
1819,-1183,-1447
1820,-1184,-358
1821,-1185,2186
1822,-1185,1024
1823,-1186,1002
1824,-1187,-280
1825,-1189,-397
1826,-1189,208
1827,-1193,969
1828,-1196,-1359
1829,-1196,-373
1830,-1200,-402
1831,-1201,-377
1832,-1202,2186
1833,-1207,172
1834,-1207,185
1835,-1209,205
1836,-1210,1089
1837,-1212,-1349
1838,-1214,1447
1839,-1215,-193
1840,-1215,2276
1841,-1216,-1425
1842,-1217,-380
1843,-1222,-330
1844,-1224,-1515
1845,-1225,2302
1846,-1227,2280
1847,-1228,-1320
1848,-1228,193
1849,-1229,1448
1850,-1232,-1477
1851,-1232,2215
1852,-1232,1458
1853,-1233,-1450
1854,-1233,-1335
1855,-1235,193
1856,-1236,-1408
1857,-1236,2175
1858,-1238,-1460
1859,-1238,-1308
1860,-1241,2246
1861,-1242,-321
1862,-1242,2110
1863,-1244,-1366
1864,-1247,1437
1865,-1249,-1348
1866,-1249,-314
1867,-1249,2281
1868,-1249,2217
1869,-1250,-339
1870,-1252,2106
1871,-1252,1446
1872,-1253,-355
1873,-1254,-298
1874,-1255,2264
1875,-1257,-413
1876,-1259,-219
1877,-1260,-384
1878,-1260,2188
1879,-1264,1476
1880,-1266,1478
1881,-1270,-331
1882,-1271,-1406
1883,-1275,-399
1884,-1276,-439
1885,-1277,-1374
1886,-1277,2046
1887,-1277,969
1888,-1279,990
1889,-1281,-247
1890,-1283,890
1891,-1284,2059
1892,-1285,-283
1893,-1286,1524
1894,-1287,2227
1895,-1288,-362
1896,-1290,2033
1897,-1290,986
1898,-1291,2287
1899,-1293,2243
1900,-1294,2221
1901,-1295,1449
1902,-1296,-316
1903,-1298,2205
1904,-1300,2261
1905,-1300,2244
1906,-1300,1470
1907,-1301,2186
1908,-1302,2161
1909,-1303,2220
1910,-1303,1552
1911,-1309,1020
1912,-1312,-390
1913,-1312,1502
1914,-1313,1624
1915,-1314,2257
1916,-1319,-382
1917,-1320,-356
1918,-1321,2105
1919,-1322,2168
1920,-1330,2143
1921,-1331,883
1922,-1336,1943
1923,-1338,286
1924,-1340,-422
1925,-1340,1986
1926,-1341,-406
1927,-1342,257
1928,-1343,2009
1929,-1344,971
1930,-1345,942
1931,-1347,275
1932,-1347,1650
1933,-1348,-363
1934,-1349,-343
1935,-1349,2214
1936,-1350,-394
1937,-1351,1601
1938,-1352,-419
1939,-1352,2054
1940,-1353,2233
1941,-1353,2065
1942,-1355,243
1943,-1356,1578
1944,-1357,1587
1945,-1358,1940
1946,-1360,-440
1947,-1360,1646
1948,-1361,389
1949,-1365,-408
1950,-1366,-364
1951,-1367,2266
1952,-1367,2193
1953,-1367,1633
1954,-1368,437
1955,-1369,2176
1956,-1369,2088
1957,-1370,1878
1958,-1371,894
1959,-1372,845
1960,-1373,2105
1961,-1374,1504
1962,-1374,1561
1963,-1376,410
1964,-1376,1613
1965,-1377,-380
1966,-1377,2066
1967,-1380,424
1968,-1382,452
1969,-1383,274
1970,-1385,254
1971,-1386,303
1972,-1387,443
1973,-1387,2008
1974,-1389,264
1975,-1389,402
1976,-1389,1749
1977,-1389,1628
1978,-1390,1650
1979,-1392,-434
1980,-1392,1889
1981,-1393,1505
1982,-1393,1657
1983,-1393,1674
1984,-1395,2185
1985,-1396,224
1986,-1398,1931
1987,-1402,453
1988,-1406,1894
1989,-1407,1916
1990,-1407,1802
1991,-1410,2173
1992,-1411,-374
1993,-1412,1807
1994,-1413,-428
1995,-1413,1651
1996,-1415,2189
1997,-1417,-444
1998,-1417,2126
1999,-1418,-410
2000,-1418,483
2001,-1418,2278
2002,-1419,259
2003,-1419,281
2004,-1419,383
2005,-1422,1960
2006,-1422,1830
2007,-1422,1697
2008,-1423,1875
2009,-1424,250
2010,-1425,2108
2011,-1425,1980
2012,-1425,1574
2013,-1426,405
2014,-1426,425
2015,-1426,2160
2016,-1426,1659
2017,-1427,-401
2018,-1427,2264
2019,-1427,1587
2020,-1428,2029
2021,-1428,1546
2022,-1429,305
2023,-1430,394
2024,-1430,1810
2025,-1430,1766
2026,-1434,443
2027,-1435,233
2028,-1435,1711
2029,-1436,255
2030,-1436,2201
2031,-1438,466
2032,-1440,-446
2033,-1442,2223
2034,-1442,1504
2035,-1444,274
2036,-1445,260
2037,-1445,362
2038,-1445,2078
2039,-1445,2026
2040,-1445,1972
2041,-1445,1744
2042,-1445,1605
2043,-1445,1717
2044,-1446,500
2045,-1447,1915
2046,-1448,-434
2047,-1448,1839
2048,-1451,1796
2049,-1453,1873
2050,-1454,469
2051,-1454,2035
2052,-1455,2097
2053,-1456,1621
2054,-1457,1557
2055,-1458,2208
2056,-1459,-413
2057,-1459,246
2058,-1459,291
2059,-1459,2113
2060,-1459,2092
2061,-1460,1714
2062,-1463,2013
2063,-1464,-455
2064,-1466,357
2065,-1466,479
2066,-1469,427
2067,-1470,1605
2068,-1472,-445
2069,-1473,2239
2070,-1474,369
2071,-1475,-428
2072,-1475,1611
2073,-1477,-412
2074,-1478,205
2075,-1478,1923
2076,-1478,1678
2077,-1483,1685
2078,-1486,2046
2079,-1488,1964
2080,-1488,1828
2081,-1489,174
2082,-1490,-467
2083,-1490,1705
2084,-1491,2293
2085,-1491,1636
2086,-1492,2179
2087,-1493,2286
2088,-1493,2241
2089,-1493,1961
2090,-1493,1919
2091,-1493,1625
2092,-1495,1850
2093,-1496,221
2094,-1496,1811
2095,-1498,325
2096,-1498,1995
2097,-1500,368
2098,-1500,2167
2099,-1500,1674
2100,-1501,-447
2101,-1501,339
2102,-1501,316
2103,-1501,2159
2104,-1501,2040
2105,-1502,2125
2106,-1502,1828
2107,-1502,1615
2108,-1503,251
2109,-1503,421
2110,-1503,520
2111,-1503,1766
2112,-1504,389
2113,-1505,363
2114,-1505,1854
2115,-1505,1619
2116,-1507,2012
2117,-1507,1981
2118,-1508,168
2119,-1509,1595
2120,-1512,2035
2121,-1512,1716
2122,-1513,437
2123,-1514,2076
2124,-1514,1680
2125,-1515,377
2126,-1515,2175
2127,-1515,1935
2128,-1515,1771
2129,-1519,307
2130,-1519,1707
2131,-1520,412
2132,-1521,319
2133,-1521,2287
2134,-1521,2170
2135,-1522,447
2136,-1522,417
2137,-1522,1663
2138,-1524,1629
2139,-1525,1974
2140,-1526,2289
2141,-1527,1550
2142,-1528,1820
2143,-1530,300
2144,-1530,1676
2145,-1532,229
2146,-1532,2046
2147,-1533,131
2148,-1533,1994
2149,-1534,-490
2150,-1534,181
2151,-1537,-486
2152,-1538,1597
2153,-1539,1760
2154,-1540,191
2155,-1540,1974
2156,-1541,2276
2157,-1542,1861
2158,-1542,1686
2159,-1547,419
2160,-1547,396
2161,-1550,-500
2162,-1553,2009
2163,-1553,1984
2164,-1553,1694
2165,-1555,1588
2166,-1556,2187
2167,-1556,1667
2168,-1558,1732
2169,-1559,2275
2170,-1560,1652
2171,-1562,1823
2172,-1568,1725
2173,-1572,-537
2174,-1574,1629
2175,-1577,2294
2176,-1580,-446
2177,-1580,2270
2178,-1580,2054
2179,-1586,2046
2180,-1587,1665
2181,-1588,1891
2182,-1595,1911
2183,-1597,-563
2184,-1600,2099
2185,-1600,1776
2186,-1602,1952
2187,-1604,-452
2188,-1605,2209
2189,-1610,1847
2190,-1611,-571
2191,-1611,1948
2192,-1612,-443
2193,-1614,1811
2194,-1616,1750
2195,-1617,2224
2196,-1619,1948
2197,-1619,1929
2198,-1619,1834
2199,-1620,2240
2200,-1621,2009
2201,-1625,-546
2202,-1625,2277
2203,-1630,1733
2204,-1633,-548
2205,-1633,1932
2206,-1633,1859
2207,-1634,2024
2208,-1636,2228
2209,-1639,1909
2210,-1640,2275
2211,-1641,1945
2212,-1642,-479
2213,-1642,2209
2214,-1643,2124
2215,-1645,2097
2216,-1647,-516
2217,-1651,2193
2218,-1652,-439
2219,-1653,1964
2220,-1654,1939
2221,-1656,1918
2222,-1656,1918
2223,-1657,-578
2224,-1658,1834
2225,-1659,-544
2226,-1659,2268
2227,-1659,2164
2228,-1661,-493
2229,-1661,1789
2230,-1662,-477
2231,-1662,1877
2232,-1663,2142
2233,-1670,1904
2234,-1672,-419
2235,-1672,1902
2236,-1674,-450
2237,-1674,1778
2238,-1681,1914
2239,-1684,1891
2240,-1687,-429
2241,-1693,2228
2242,-1693,2098
2243,-1694,2261
2244,-1696,1941
2245,-1697,2261
2246,-1702,1877
2247,-1703,1918
2248,-1708,2077
2249,-1711,-436
2250,-1714,1881
2251,-1715,1859
2252,-1716,2052
2253,-1719,1929
2254,-1721,2245
2255,-1726,-442
2256,-1726,2156
2257,-1728,2086
2258,-1729,-429
2259,-1729,-458
2260,-1735,2224
2261,-1736,2014
2262,-1736,2014
2263,-1739,2044
2264,-1742,2061
2265,-1745,2178
2266,-1746,-1113
2267,-1750,-1646
2268,-1751,2247
2269,-1754,2044
2270,-1758,-1735
2271,-1758,-403
2272,-1763,-1768
2273,-1767,-400
2274,-1768,-481
2275,-1769,-1760
2276,-1769,-1133
2277,-1771,2075
2278,-1777,-1731
2279,-1778,2168
2280,-1779,-1748
2281,-1780,-1173
2282,-1785,-440
2283,-1787,-468
2284,-1789,-1056
2285,-1795,938
2286,-1799,818
2287,-1802,-1054
2288,-1802,-461
2289,-1818,-1597
2290,-1820,840
2291,-1823,-1161
2292,-1829,-1697
2293,-1830,851
2294,-1832,-1644
2295,-1837,-430
2296,-1837,804
2297,-1838,962
2298,-1844,-428
2299,-1844,991
2300,-1847,1005
2301,-1848,894
2302,-1852,923
2303,-1852,817
2304,-1855,-1587
2305,-1859,-1097
2306,-1859,781
2307,-1862,-1812
2308,-1867,-519
2309,-1870,-1659
2310,-1870,-472
2311,-1871,-1703
2312,-1872,-1734
2313,-1872,805
2314,-1877,-488
2315,-1877,1015
2316,-1877,932
2317,-1879,-525
2318,-1880,883
2319,-1883,-1691
2320,-1886,952
2321,-1886,858
2322,-1887,-1776
2323,-1887,874
2324,-1891,839
2325,-1893,851
2326,-1896,-1702
2327,-1896,1023
2328,-1897,-1649
2329,-1898,945
2330,-1903,-1667
2331,-1903,-1114
2332,-1913,942
2333,-1914,-1789
2334,-1914,-1737
2335,-1914,-1667
2336,-1915,-1708
2337,-1917,894
2338,-1917,921
2339,-1917,849
2340,-1920,-1801
2341,-1921,-1742
2342,-1921,870
2343,-1922,808
2344,-1929,768
2345,-1934,-1646
2346,-1942,813
2347,-1943,900
2348,-1944,-1637
2349,-1945,988
2350,-1946,825
2351,-1947,-1687
2352,-1950,840
2353,-1959,-1550
2354,-1959,741
2355,-1961,-1698
2356,-1961,-1085
2357,-1964,-1033
2358,-1975,-1023
2359,-1975,806
2360,-1980,2251
2361,-1980,781
2362,-1981,1152
2363,-1982,-977
2364,-1982,841
2365,-1982,765
2366,-1984,948
2367,-1987,-1571
2368,-1992,-998
2369,-1993,2276
2370,-1998,-1673
2371,-1998,1172
2372,-1998,915
2373,-2006,739
2374,-2006,787
2375,-2009,-1567
2376,-2017,1315
2377,-2018,1145
2378,-2020,1261
2379,-2021,822
2380,-2021,840
2381,-2022,1207
2382,-2022,741
2383,-2022,794
2384,-2024,2163
2385,-2025,1303
2386,-2026,1179
2387,-2028,848
2388,-2033,2238
2389,-2034,1383
2390,-2041,1417
2391,-2042,873
2392,-2044,788
2393,-2046,1212
2394,-2046,899
2395,-2049,2251
2396,-2049,820
2397,-2050,2190
2398,-2052,1213
2399,-2054,803
2400,-2057,860
2401,-2058,1284
2402,-2059,2219
2403,-2059,842
2404,-2062,1183
2405,-2065,854
2406,-2066,2182
2407,-2067,1210
2408,-2071,1312
2409,-2077,987
2410,-2077,796
2411,-2080,1255
2412,-2082,1271
2413,-2085,1220
2414,-2087,1262
2415,-2089,2217
2416,-2090,983
2417,-2091,1239
2418,-2097,1317
2419,-2099,1065
2420,-2103,882
2421,-2107,1344
2422,-2111,951
2423,-2116,1204
2424,-2116,1235
2425,-2122,1227
2426,-2123,1353
2427,-2124,857
2428,-2132,1374
2429,-2132,1190
2430,-2134,976
2431,-2135,1061
2432,-2137,-2304
2433,-2137,820
2434,-2137,902
2435,-2137,1003
2436,-2139,955
2437,-2140,1298
2438,-2142,1124
2439,-2142,1320
2440,-2144,1385
2441,-2145,813
2442,-2147,845
2443,-2147,1008
2444,-2148,1300
2445,-2149,830
2446,-2151,1334
2447,-2153,1048
2448,-2156,902
2449,-2157,1190
2450,-2157,1324
2451,-2157,856
2452,-2157,1004
2453,-2159,1364
2454,-2160,936
2455,-2161,968
2456,-2161,1215
2457,-2161,888
2458,-2162,1272
2459,-2163,1162
2460,-2163,1353
2461,-2163,1023
2462,-2163,1035
2463,-2165,900
2464,-2166,1099
2465,-2168,1131
2466,-2168,1174
2467,-2169,995
2468,-2176,978
2469,-2178,872
2470,-2180,1287
2471,-2181,1192
2472,-2184,1065
2473,-2188,904
2474,-2189,971
2475,-2189,1271
2476,-2190,821
2477,-2190,834
2478,-2193,1180
2479,-2194,1304
2480,-2194,1259
2481,-2197,1039
2482,-2199,1317
2483,-2199,922
2484,-2199,814
2485,-2200,1203
2486,-2200,847
2487,-2200,887
2488,-2200,897
2489,-2201,1140
2490,-2202,951
2491,-2202,824
2492,-2209,882
2493,-2210,930
2494,-2212,1112
2495,-2214,1303
2496,-2216,1196
2497,-2217,1283
2498,-2218,822
2499,-2219,862
2500,-2221,875
2501,-2222,1030
2502,-2223,994
2503,-2225,1238
2504,-2227,1183
2505,-2232,1279
2506,-2234,-2291
2507,-2237,1087
2508,-2252,1079
2509,-2253,1111
2510,-2254,988
2511,-2257,1125
2512,-2259,1045
2513,-2264,-2265
2514,-2268,1039
2515,-2269,-2287
2516,-2271,1116
2517,-2277,1136
2518,-2285,-2253
2519,-2285,1006
2520,-2288,-2303
2521,-2289,1019
2522,-2295,1006
2523,-2299,1030
2524,-2304,1056
